Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1-score
KNN,0.9154669619785899,0.9163148994792462,0.9154669619785899,0.9156524352911063
Decision Tree,0.8955334071613141,0.8953651613569359,0.8955334071613141,0.8952886701742143
Gaussian Naive Bayes,0.7630121816168328,0.7646734986551631,0.7630121816168328,0.7606513875051749
