Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1-score
YSA,0.9276485788113696,0.9277330600851514,0.9276485788113696,0.9276637172948544
SVM,0.9210040605389442,0.921410607951152,0.9210040605389442,0.9210779160652252
Random Forest,0.9169435215946844,0.9170186688639368,0.9169435215946844,0.9168872723620084
KNN,0.91546696197859,0.9163148994792462,0.91546696197859,0.9156524352911064
Decision Tree,0.8955334071613141,0.8953651613569359,0.8955334071613141,0.8952886701742143
Gaussian Naive Bayes,0.7630121816168328,0.7646734986551631,0.7630121816168328,0.7606513875051749
