Model,Accuracy,Weighted Precision,Weighted Recall,Weighted F1-score
YSA,0.9276485788113695,0.9277330600851514,0.9276485788113695,0.9276637172948545
SVM,0.9210040605389442,0.9214106079511519,0.9210040605389442,0.9210779160652252
Random Forest,0.9169435215946844,0.9170186688639367,0.9169435215946844,0.9168872723620085
